Distribution, Target, Actual, Dropped, Never Sent, Median, 90th, 99th, 99.9th, 99.99th, Start, StartTsc
zero, 699523, 699523, 0, 7201, 12.0, 18.0, 22.0, 169.0, 238.0, 1744810262, 4517905260852237
zero, 899785, 899785, 0, 9251, 11.0, 15.0, 21.0, 170.0, 237.0, 1744810283, 4517955449645319
zero, 1099645, 1099645, 0, 11852, 12.0, 16.0, 23.0, 195.0, 259.0, 1744810305, 4518007910689680
zero, 1300083, 1300083, 0, 14078, 12.0, 15.0, 21.0, 208.0, 265.0, 1744810328, 4518062754739965
zero, 1500547, 1500547, 0, 17147, 12.0, 15.0, 20.0, 228.0, 260.0, 1744810351, 4518119369184468
zero, 1700151, 1700151, 0, 20058, 12.0, 15.0, 22.0, 234.0, 270.0, 1744810376, 4518178029876939
zero, 1894095, 1894095, 0, 79767, 13.0, 16.0, 38.0, 239.0, 264.0, 1744810401, 4518238880193495
zero, 1987806, 1987806, 0, 1036711, 13.0, 15.0, 71.0, 259.0, 287.0, 1744810427, 4518300323709195
zero, 1954285, 1954285, 0, 3168678, 13.0, 15.0, 40.0, 255.0, 285.0, 1744810454, 4518363926345751
zero, 1812936, 1812936, 0, 6215828, 12.0, 15.0, 27.0, 359.0, 629.0, 1744810481, 4518430060809333
zero, 1899670, 1899670, 0, 7261295, 12.0, 15.0, 24.0, 309.0, 380.0, 1744810510, 4518497950144125
zero, 1748352, 1748352, 0, 10478303, 12.0, 15.0, 25.0, 302.0, 347.0, 1744810539, 4518567627061170
zero, 1735984, 1735984, 0, 12371483, 12.0, 15.0, 28.0, 336.0, 397.0, 1744810570, 4518641465034459
zero, 1843897, 1843897, 0, 13152188, 12.0, 14.0, 21.0, 241.0, 262.0, 1744810600, 4518713789232357
zero, 1812157, 1812157, 0, 15322467, 12.0, 14.0, 24.0, 249.0, 279.0, 1744810632, 4518791716504689
zero, 1803118, 1803118, 0, 17166512, 12.0, 14.0, 21.0, 237.0, 261.0, 1744810665, 4518870332741106
zero, 1767643, 1767643, 0, 19309612, 12.0, 14.0, 21.0, 249.0, 279.0, 1744810699, 4518951258380769
zero, 1641526, 1641526, 0, 22348730, 12.0, 14.0, 20.0, 268.0, 307.0, 1744810733, 4519032088527924
zero, 1702333, 1702333, 0, 23548424, 12.0, 14.0, 21.0, 300.0, 341.0, 1744810767, 4519114951642887
zero, 1576355, 1576355, 0, 26450091, 11.0, 14.0, 20.0, 290.0, 330.0, 1744810803, 4519200873455925
