Time,  %CPU,  %MEM
2025-05-03T12:46:53,   0.0,   0.0
2025-05-03T12:46:54,  36.9,   0.0
2025-05-03T12:46:54,  63.6,   0.0
2025-05-03T12:46:54,  66.7,   0.0
2025-05-03T12:46:54,  68.2,   0.0
2025-05-03T12:46:55,  66.7,   0.0
2025-05-03T12:46:55,  68.1,   0.0
2025-05-03T12:46:55,  68.9,   0.0
2025-05-03T12:46:56,  61.9,   0.0
2025-05-03T12:47:11,  66.7,   0.0
2025-05-03T12:47:26,  48.0,   0.0
2025-05-03T12:47:41,  46.9,   0.0
2025-05-03T12:47:56,  66.5,   0.0
2025-05-03T12:48:11,  63.9,   0.0
2025-05-03T12:48:26,  47.0,   0.0
2025-05-03T12:48:41,  44.7,   0.0
2025-05-03T12:48:56,  81.3,   0.0
2025-05-03T12:49:11,  48.5,   0.0
2025-05-03T12:49:26,  37.0,   0.0
2025-05-03T12:49:41,  86.8,   0.0
2025-05-03T12:49:56,  42.3,   0.0
2025-05-03T12:50:11,  44.9,   0.0
2025-05-03T12:50:26,  81.9,   0.0
2025-05-03T12:50:41,  21.6,   0.0
2025-05-03T12:50:56,  78.7,   0.0
2025-05-03T12:51:11,  37.0,   0.0
2025-05-03T12:51:26,  51.6,   0.0
2025-05-03T12:51:41,  63.2,   0.0
2025-05-03T12:51:56,  30.0,   0.0
2025-05-03T12:52:11,  74.4,   0.0
2025-05-03T12:52:26,  14.6,   0.0
2025-05-03T12:52:41,  84.9,   0.0
2025-05-03T12:52:56,   4.5,   0.0
2025-05-03T12:53:00,  89.3,   0.0
2025-05-03T12:53:01,   0.0,   0.0
2025-05-03T12:53:01,   0.0,   0.0
2025-05-03T12:53:01,   0.0,   0.0
2025-05-03T12:53:01,   0.0,   0.0
2025-05-03T12:53:16,   0.0,   0.0
2025-05-03T12:53:31,  35.9,   0.0
2025-05-03T12:53:46,  60.5,   0.0
2025-05-03T12:54:01,  28.2,   0.0
2025-05-03T12:54:16,  61.6,   0.0
2025-05-03T12:54:31,  21.8,   0.0
2025-05-03T12:54:46,  69.8,   0.0
2025-05-03T12:55:01,  10.9,   0.0
2025-05-03T12:55:16,  80.6,   0.0
2025-05-03T12:55:26,   0.0,   0.0
