# Generated with command:
# $ sudo ./apps/synthetic/target/release/synthetic 128.110.218.185:5000 --config client.config --mode runtime-client --start_mpps=0.005 --mpps=2.5 --samples=20 --rampup=4 --intersample_sleep=2

Distribution, Target, Actual, Dropped, Never Sent, Median, 90th, 99th, 99.9th, 99.99th, Start, StartTsc
zero, 129515, 129515, 0, 1713, 14.0, 17.0, 20.0, 120.0, 210.0, 1744648003, 4129551387324060
zero, 254152, 254152, 0, 3449, 14.0, 18.0, 21.0, 143.0, 220.0, 1744648020, 4129593681262712
zero, 378915, 378915, 0, 5432, 13.0, 18.0, 21.0, 139.0, 222.0, 1744648038, 4129636553033392
zero, 503548, 503548, 0, 7879, 13.0, 19.0, 22.0, 159.0, 236.0, 1744648057, 4129680513452334
zero, 628245, 628245, 0, 11292, 12.0, 15.0, 21.0, 152.0, 222.0, 1744648076, 4129725750941037
zero, 753130, 753130, 0, 11781, 13.0, 19.0, 23.0, 184.0, 241.0, 1744648095, 4129772105164400
zero, 877810, 877810, 0, 15317, 11.0, 15.0, 19.0, 169.0, 240.0, 1744648115, 4129819866984288
zero, 1001739, 1001739, 0, 18272, 13.0, 19.0, 24.0, 199.0, 252.0, 1744648135, 4129868447885176
zero, 1126624, 1126624, 0, 23572, 12.0, 15.0, 18.0, 184.0, 242.0, 1744648156, 4129918532162397
zero, 1246922, 1246922, 0, 60290, 12.0, 17.0, 25.0, 207.0, 271.0, 1744648178, 4129969948457544
zero, 1368532, 1368532, 0, 88073, 12.0, 16.0, 21.0, 220.0, 255.0, 1744648199, 4130022062983059
zero, 1497659, 1497659, 0, 58007, 12.0, 16.0, 21.0, 231.0, 264.0, 1744648222, 4130075810689413
zero, 1601100, 1601100, 0, 263882, 12.0, 16.0, 23.0, 261.0, 301.0, 1744648245, 4130132155126428
zero, 1735129, 1735129, 0, 186716, 13.0, 16.0, 23.0, 217.0, 251.0, 1744648269, 4130188620989949
zero, 1778562, 1778562, 0, 930881, 13.0, 17.0, 41.0, 245.0, 273.0, 1744648293, 4130245561491750
zero, 1907182, 1907182, 0, 890229, 13.0, 17.0, 40.0, 233.0, 259.0, 1744648317, 4130303644823331
zero, 1842906, 1842906, 0, 2578351, 13.0, 17.0, 60.0, 255.0, 285.0, 1744648342, 4130363020310367
zero, 1956903, 1956903, 0, 2677768, 13.0, 17.0, 55.0, 309.0, 369.0, 1744648367, 4130424416054292
zero, 1827149, 1827149, 0, 4953204, 13.0, 17.0, 62.0, 354.0, 436.0, 1744648393, 4130486995525095
zero, 1984924, 1984924, 0, 4661205, 13.0, 16.0, 67.0, 338.0, 427.0, 1744648420, 4130550104105223
