Time,  %CPU,  %MEM
2025-05-03T12:18:32,   0.0,   0.0
2025-05-03T12:18:32,  43.9,   0.0
2025-05-03T12:18:32,  65.0,   0.0
2025-05-03T12:18:32,  66.7,   0.0
2025-05-03T12:18:33,  63.6,   0.0
2025-05-03T12:18:33,  70.0,   0.0
2025-05-03T12:18:33,  75.0,   0.0
2025-05-03T12:18:33,  63.6,   0.0
2025-05-03T12:18:35,  68.1,   0.0
2025-05-03T12:18:35,  67.6,   0.0
2025-05-03T12:18:35,  75.0,   0.0
2025-05-03T12:18:35,  65.0,   0.0
2025-05-03T12:18:36,  66.7,   0.0
2025-05-03T12:18:51,  66.7,   0.0
2025-05-03T12:19:06,  49.3,   0.0
2025-05-03T12:19:21,  48.3,   0.0
2025-05-03T12:19:36,  47.9,   0.0
2025-05-03T12:19:51,  71.1,   0.0
2025-05-03T12:20:06,  59.7,   0.0
2025-05-03T12:20:21,  42.7,   0.0
2025-05-03T12:20:36,  59.1,   0.0
2025-05-03T12:20:51,  74.5,   0.0
2025-05-03T12:21:06,  38.0,   0.0
2025-05-03T12:21:21,  59.4,   0.0
2025-05-03T12:21:36,  72.1,   0.0
2025-05-03T12:21:51,  27.3,   0.0
2025-05-03T12:22:06,  81.2,   0.0
2025-05-03T12:22:21,  42.3,   0.0
2025-05-03T12:22:36,  45.9,   0.0
2025-05-03T12:22:51,  72.6,   0.0
2025-05-03T12:23:06,  15.9,   0.0
2025-05-03T12:23:21,  95.9,   0.0
2025-05-03T12:23:36,   7.1,   0.0
2025-05-03T12:23:51,  81.9,   0.0
2025-05-03T12:24:06,  22.1,   0.0
2025-05-03T12:24:21,  79.4,   0.0
2025-05-03T12:24:36,  21.8,   0.0
2025-05-03T12:24:51,  67.7,   0.0
2025-05-03T12:25:06,  25.7,   0.0
2025-05-03T12:25:21,  68.4,   0.0
2025-05-03T12:25:36,  19.1,   0.0
2025-05-03T12:25:51,  70.4,   0.0
2025-05-03T12:26:06,   4.7,   0.0
2025-05-03T12:26:21,  86.4,   0.0
2025-05-03T12:26:36,   0.0,   0.0
2025-05-03T12:26:51,  91.5,   0.0
2025-05-03T12:26:54,   0.0,   0.0
